"Git revsion of specification repo:","c1def241eef538f02034aafa23f95fb0489eb10f"
Nr,Name,"constants","deadlock","deferred_sets","definitions","dynamic_assertions","enumerated_sets","file","formalism","invariant-violated","invariants","number-of-states","number-of-transitions","operations","properties","sha256","static_assertions","variables"
25,"BIT_DEFINITION.mch",6,true,0,0,0,0,"./prob-examples/TLC/NoError/BIT_DEFINITION.mch",b,false,0,2,2,0,6,"14798c0bfeb817dcb5b0790c11232c4b6c87e853346318481b7c823909ce24dc",1,0
26,"Counter.mch",1,false,0,0,0,0,"./prob-examples/TLC/NoError/Counter.mch",b,false,1,11,12,2,1,"331352ebe35028366e1cefd3219ec38c198c7dcb66c533dcb0ffed6b4c2d2eb2",0,1
27,"scheduler.mch",0,false,1,3,0,0,"./prob-examples/TLC/NoError/scheduler.mch",b,false,4,35,121,4,0,"ea889fb0a02eb282a360476d917c81cebb98f915e34c355dfe19ea54042d5602",0,3
28,"USB_4Endpoints.mch",1,false,1,0,0,1,"./prob-examples/TLC/NoError/USB_4Endpoints.mch",b,false,5,693,22018,38,1,"239a7a47625c4eb0b4e998b8df59e1274144cd081fe060b576ee900d07e08190",0,4
29,"safecap2549260349036854403.mch",12,false,3,0,0,4,"./prob-examples/TLC/NoError/safecap2549260349036854403.mch",b,false,9,7588,28506,9,23,"17180022699226b44b2b4a7f5776300956f68411aa41c42063f9fa547bd88631",0,9
30,"CSM.mch",0,false,0,0,0,0,"./prob-examples/TLC/NoError/CSM.mch",b,false,15,76,209,13,0,"6ded8b1628d26ab4fae3fc47f9c44ea5d0551756bf5edacb0e23bf0cd09b7a32",0,14
31,"EnumerateFunctionTests.mch",0,false,0,0,0,1,"./prob-examples/TLC/NoError/EnumerateFunctionTests.mch",b,false,0,15,211,14,0,"9baf649ec7bf25d8f27f7b5a22ac6ae6afdab3881a562d00c781383515e3e35f",0,1
32,"Schleusen_Records.mch",3,false,0,3,0,2,"./prob-examples/TLC/NoError/Schleusen_Records.mch",b,false,5,17,53,4,7,"d598956cc24dbf2376917fb8066a6e35f65991394ede290a023280ef1594987b",0,2
33,"TrafficLight_tlm2.mch",0,false,0,9,0,2,"./prob-examples/TLC/NoError/TrafficLight_tlm2.mch",b,false,4,8,15,7,0,"799f8e2cfc77b004fcfecec58cb43f3b0355165172c291563482bd8b1dffff44",0,5
34,"tracksections.mch",0,false,1,0,0,1,"./prob-examples/TLC/NoError/tracksections.mch",b,false,1,16,41,5,0,"736c4805cd07e73d035f6e7dd16baaf35c7610e8c1f1e50adba17936dcd78376",0,2
35,"Schleusen_TLC.mch",4,false,0,4,0,3,"./prob-examples/TLC/NoError/Schleusen_TLC.mch",b,false,5,17,53,4,12,"70d65522c1bfd1a2ff0d0968a473acc0c0fde5f0a765784aa8647402a6f17eac",0,2
36,"EnumSetLookups.mch",0,false,1,1,0,3,"./prob-examples/TLC/NoError/EnumSetLookups.mch",b,false,0,4375,52495,3,1,"948adee75ff134c964a3f81e17cb55c37370fbb7779727c6be83e82acb02b6f7",0,4
37,"BBook_Page83.mch",9,true,0,0,0,0,"./prob-examples/TLC/NoError/BBook_Page83.mch",b,false,0,2,2,0,15,"d8a8fa2434ad3095a7f4b0ca5ade55595e9b838a902d31b497248a4c0227b9b4",6,0
38,"BBook_Page82.mch",5,true,0,0,0,0,"./prob-examples/TLC/NoError/BBook_Page82.mch",b,false,0,2,2,0,5,"36fc050f139fbe06f4d4b715ea8200e8af5c681f8475e853bfba334847fab598",9,0
39,"Teletext_bench.mch",0,false,0,10,0,3,"./prob-examples/TLC/NoError/Teletext_bench.mch",b,false,10,13,122,11,0,"023c4ea901a09fc7554ce3107213ba536a756875259f032759349d4a26cdcc07",0,8
40,"GraphIsoSimple7.mch",4,true,0,1,0,0,"./prob-examples/TLC/Deadlock_LongRunning/GraphIsoSimple7.mch",b,false,1,129,450,1,7,"701f40b5e0715ce93c33d6075c66f80cddb50e5202bdd7cb659cd22ec255a82a",0,1
41,"GraphIsoMedium9.mch",4,true,0,1,0,0,"./prob-examples/TLC/Deadlock_LongRunning/GraphIsoMedium9.mch",b,false,1,513,2306,1,7,"871d32db0c5c914bba11c5f677d8bb05ecda5ef355ec2a60c40cd1b2b182b49d",0,1
42,"GraphIsoMedium8.mch",4,true,0,1,0,0,"./prob-examples/TLC/Deadlock_LongRunning/GraphIsoMedium8.mch",b,false,1,257,1026,1,7,"bcb3303d190da0eba6ea0d1a76ec4678b14b5f58d286477393e26caa4becc2a4",0,1
43,"countdown.mch",0,false,0,1,0,0,"./prob-examples/TLC/InvariantViolation/countdown.mch",b,true,2,19799,85681,4,0,"71fa6c148acd654e0c41bc8cb42a568206264c718b6c6923d6b605c51eed1348",0,1
44,"LotsOfInvariants.mch",0,unknown,0,1,0,0,"./prob-examples/TLC/InvariantViolation/LotsOfInvariants.mch",b,true,85,unknown,unknown,1,0,"db344693d58ef1c84beaf5f56b661db76623b793fd43a5150125c483bb363a4f",0,9
45,"Scheduler.mch",0,false,1,0,0,1,"./prob-examples/TLC/InvariantViolation/Scheduler.mch",b,false,4,16,37,5,0,"4892eef4d808847bc033b12eb10c5af16191242e0ca6500dec462ce2081a699d",0,2
46,"safecap2638573575276969457.mch",12,unknown,3,0,0,4,"./prob-examples/TLC/InvariantViolation/safecap2638573575276969457.mch",b,true,9,unknown,unknown,9,23,"86ac9de5d7d5e7a2de18034775233ebdca24d392e86b3deb20dfb09d241d044f",0,9
47,"TravelAgency.mch",1,unknown,0,2,0,10,"./prob-examples/TLC/InvariantViolation/TravelAgency.mch",b,true,18,unknown,unknown,10,1,"f130933f73d2f6762d850a2108b10812cfb2a190f44bf487cd807c121290585e",0,11
